group_name,dfes_substation,match_type,suggestion,licence
BRITISH SIDAC T1 / SHERDLEY RD T1 / ST HELENS LINKWAY T1 / WATERY LA T1,BRITISH SIDAC T1 / SHERDLEY RD T1 / ST HELENS LINKWAY T1 / WATERY LA T1,exact_spm,,SPM
BROADGREEN T1 / CROXTETH T1 / EAST PRESCOT RD (FINCH LA) T1 / KNOTTY ASH T1 / LEYFIELD RD T1,BROADGREEN T1 / CROXTETH T1 / EAST PRESCOT RD (FINCH LA) T1 / KNOTTY ASH T1 / LEYFIELD RD T1,exact_spm,,SPM
BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,exact_spm,,SPM
BROMBOROUGH GT3 / ROCK FERRY GT2,BROMBOROUGH GT3 / ROCK FERRY GT2,exact_spm,,SPM
BROMFIELD T1 / BROMFIELD T2 / PONTERWYL T1 / RHYD-Y-GOLEU T1 / SYNTHITE T1,BROMFIELD T1 / BROMFIELD T2 / PONTERWYL T1 / RHYD-Y-GOLEU T1 / SYNTHITE T1,exact_spm,,SPM
BROOK LA T1 / MANNINGS LA T1 / NEWTOWN CHESTER T1 / UPTON HEATH T1 / COUNTESS PARK T1,BROOK LA T1 / MANNINGS LA T1 / NEWTOWN CHESTER T1 / UPTON HEATH T1,fuzzy_spm,,SPM
BROOK ST T1 / KINGSWAY TUNNEL T1 / NWWA SANDON DOCK T1 / NWWA SANDON DOCK T2,BROOK ST T1 / KINGSWAY TUNNEL T1 / NWWA SANDON DOCK T1 / NWWA SANDON DOCK T2,exact_spm,,SPM
BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,exact_spm,,SPM
BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT1,BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT2,fuzzy_spm,,SPM
BRYN STANLEY T1,,unmatched,,
BUCKINGHAM ST T1 / EVERTON RD T1 / SUBURBAN RD T1,BUCKINGHAM ST T1 / EVERTON RD T1 / SUBURBAN RD T1,exact_spm,,SPM
BUCKLEY T1 / BUCKLEY T2 / BUCKLEY CROSS T1,BUCKLEY T1 / BUCKLEY T2 / BUCKLEY CROSS T1,exact_spm,,SPM
BUILDWAS RD T1 / GEC MARCONI T1 / MORGAN REFRACTORIES T1 / NESTON MAIN T1,BUILDWAS RD T1 / MORGAN REFRACTORIES T1 / NESTON MAIN T1,fuzzy_spm,,SPM
BURLINGTON AVE T1 / FRESHFIELD T1 / MARSH BROWS T1 / SOUTHPORT RD T1,BURLINGTON AVE T1 / FRESHFIELD T1 / MARSH BROWS T1 / SOUTHPORT RD T1,exact_spm,,SPM
BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,exact_spm,,SPM
BUTLINS T1 / BUTLINS T2,,unmatched,,
BUTTINGTON CROSS T1,BUTTINGTON CROSS T1,exact_spm,,SPM
BXL BROMBOROUGH T1 / TULIP T1,BXL BROMBOROUGH T1 / TULIP T1,exact_spm,,SPM
BAILLIESTON,BAILLIESTON,exact_spd,,SPD
BAINSFORD,BAINSFORD,exact_spd,,SPD
BAKER STREET,BAKER STREET,exact_spd,,SPD
BALGREEN,BALGREEN,exact_spd,,SPD
BALLOCH,BALLOCH,exact_spd,,SPD
BALMORE,BALMORE,exact_spd,,SPD
BARNTON GROVE,BARNTON GROVE,exact_spd,,SPD
BARNTON QUARRY,BARNTON QUARRY,exact_spd,,SPD
BARRHEAD,BARRHEAD,exact_spd,,SPD
BARRHILL,BARRHILL,exact_spd,,SPD
BARTERHOLM,BARTERHOLM,exact_spd,,SPD
BATHGATE,BATHGATE,exact_spd,,SPD
BELHAVEN FORTH,BELHAVEN FORTH,exact_spd,,SPD
BELHAVEN WEST,BELHAVEN WEST,exact_spd,,SPD
BELLSHILL,,unmatched,,
BERRYHILL ROAD,BERRYHILL ROAD,exact_spd,,SPD
BERWICK,BERWICK,exact_spd,,SPD
BIGGAR & SYMINGTON,,unmatched,,
BIRRELL STREET WYND,BIRRELL STREET WYND,exact_spd,,SPD
BISHOP,BISHOP,exact_spd,,SPD
BISHOPBRIGGS,BISHOPBRIGGS,exact_spd,,SPD
BLACKBURN,BLACKBURN,exact_spd,,SPD
BLACKHALL PACKAGE,BLACKHALL PACKAGE,exact_spd,,SPD
BO'NESS KINNEIL,BONESS KINNEIL,fuzzy_spd,,SPD
BONNINGTON ROAD,BONNINGTON ROAD,exact_spd,,SPD
BONNYBRIDGE,BONNYBRIDGE,exact_spd,,SPD
BOUNDARY STREET,BOUNDARY STREET,exact_spd,,SPD
BOWHILL,BOWHILL,exact_spd,,SPD
BRAIDWOOD,BRAIDWOOD,exact_spd,,SPD
BROXBURN,BROXBURN,exact_spd,,SPD
BROXBURN,BROXBURN,exact_spd,,SPD
BURGHLEE,BURGHLEE,exact_spd,,SPD
BURNBANK,BURNBANK,exact_spd,,SPD
BURNFIELD,BURNFIELD,exact_spd,,SPD
BURNSIDE,BURNSIDE,exact_spd,,SPD
BURNTISLAND,BURNTISLAND,exact_spd,,SPD
BUSH ESTATE,BUSH ESTATE,exact_spd,,SPD
BYREHILL,BYREHILL,exact_spd,,SPD
BYRES ROAD,BYRES ROAD,exact_spd,,SPD
CABLE ST T1 / GRADWELL ST T2 / OLDHAM PLACE T2,CABLE ST T1 / GRADWELL ST T2 / OLDHAM PLACE T2,exact_spm,,SPM
CABLE ST T2 / CROWN COURTS T1 / GRADWELL ST T1,CABLE ST T2 / CROWN COURTS T1 / GRADWELL ST T1,exact_spm,,SPM
CADBURYS KRONOSPAN T1 / CADBURYS KRONOSPAN T2,CADBURYS KRONOSPAN T1 / CADBURYS KRONOSPAN T2,exact_spm,,SPM
CADBURYS T1 / CADBURYS T2 / HOPFIELD RD T1,CADBURYS T1 / CADBURYS T2 / HOPFIELD RD T1,exact_spm,,SPM
CAERGEILIOG T1,CAERGEILIOG T1,exact_spm,,SPM
CAERGWRLE T1,CAERGWRLE T1,exact_spm,,SPM
CAERNARFON T1,CAERNARFON T1,exact_spm,,SPM
CAERSWS T1,CAERSWS T1,exact_spm,,SPM
CALDY T1 / HOYLAKE T1 / MEOLS T1 / WEST KIRBY SOUTH T1,CALDY T1 / HOYLAKE T1 / MEOLS T1 / WEST KIRBY SOUTH T1,exact_spm,,SPM
CALEDONIA BUS DEPOT,CALEDONIA BUS DEPOT,exact_spd,,SPD
CAMMELL LAIRD NORTH T1 / CAMMELL LAIRD SOUTH T1 / CAMMELL LAIRD SOUTH T2,,unmatched,,
CAPENHURST,CAPENHURST,exact_spm,,SPM
CARBORUNDUM T1 / HOUGHTONS LA T1 / RAINFORD T1 / WINDLEHURST T2,CARBORUNDUM T1 / HOUGHTONS LA T1 / RAINFORD T1 / WINDLEHURST T2,exact_spm,,SPM
CARLTON ST T1 / CARLTON ST T2 / CHALON WAY T2,CARLTON ST T1 / CARLTON ST T2 / CHALON WAY T2,exact_spm,,SPM
CARMEL T1,CARMEL T1,exact_spm,,SPM
CARRINGTON / FIDDLERS FERRY,CARRINGTON - FIDDLERS FERRY,fuzzy_spm,,SPM
CASTLE BEESTON ST T1 / HARTFORD T2 / LEICESTER ST T1 / NORTHWICH TOWN T1 / WINNINGTON T1,CASTLE BEESTON ST T1 / HARTFORD T2 / LEICESTER ST T1 / NORTHWICH TOWN T1 / WINNINGTON T1,exact_spm,,SPM
CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,exact_spm,,SPM
CEFN MAWR T1,CEFN MAWR T1,exact_spm,,SPM
CELLARHEAD,CELLARHEAD,exact_spm,,SPM
CEMAES BAY T1,CEMAES BAY T1,exact_spm,,SPM
CEMMAES RD T1,CEMMAES RD T1,exact_spm,,SPM
CEREAL PARTNERS T1 / LEVER GEORGIA AVE T1 / POOL LA T1 / UML LEVER BROMBOROUGH T2,CEREAL PARTNERS T1 / LEVER GEORGIA AVE T1 / POOL LA T1 / UML LEVER BROMBOROUGH T2,exact_spm,,SPM
CHALON WAY T1 / TECHNOLOGY CAMPUS T1 / WOODVILLE ST T1,CHALON WAY T1 / TECHNOLOGY CAMPUS T1 / WOODVILLE ST T1,exact_spm,,SPM
CHESHIRE GREEN T1 / NWF T1,CHESHIRE GREEN T1 / NWF T1,exact_spm,,SPM
CHESTER GATES T1 / UNILEVER DUNKIRK T1,CHESTER GATES T1 / UNILEVER DUNKIRK T1,exact_spm,,SPM
CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,exact_spm,,SPM
CHESTER ST (WREXHAM) T1 / EAGLES MEADOW T1 / RHOSNESNI T1 / WHITEGATE T1,CHESTER ST (WREXHAM) T1 / EAGLES MEADOW T1 / RHOSNESNI T1 / WHITEGATE T1,exact_spm,,SPM
CHILDWALL T1 / CHILDWALL FIVEWAYS T1 / LYNDENE RD T1 / MIDDLEMASS HEY T1 / NAYLORS RD T1,CHILDWALL T1 / CHILDWALL FIVEWAYS T1 / LYNDENE RD T1 / MIDDLEMASS HEY T1 / NAYLORS RD T1,exact_spm,,SPM
CHOWLEY T1 / CHOWLEY T2,CHOWLEY T1 / CHOWLEY T2,exact_spm,,SPM
CHURCH LA T1 / NANT HALL T1 / PRESTATYN T1,CHURCH LA T1 / NANT HALL T1 / PRESTATYN T1,exact_spm,,SPM
CHURCH LAWTON T1,CHURCH LAWTON T1,exact_spm,,SPM
CHURCH ST WINSFORD T1 / OVER T1 / WHARTON PK T1 / WOODFORD PK T1,CHURCH ST WINSFORD T1 / OVER T1 / WHARTON PK T1 / WOODFORD PK T1,exact_spm,,SPM
CIVIC CENTRE T1 / CLAUGHTON AVE T1 / ELECTRICITY ST T1,,unmatched,,
CLEDFORD T1,CLEDFORD T1,exact_spm,,SPM
CLOCKFACE T1 / GEC ST HELENS T1 / HILLS MOSS T1 / NCB SUTTON MANOR T2,CLOCKFACE T1 / GEC ST HELENS T1 / HILLS MOSS T1 / NCB SUTTON MANOR T2,exact_spm,,SPM
CLUBMOOR T1 / DUNLOPS WALTON T1 / WALTON T1,CLUBMOOR T1 / DUNLOPS WALTON T1 / WALTON T2,fuzzy_spm,,SPM
CLUBMOOR T2 / LISTER DV A T1 / SUBURBAN RD T2,CLUBMOOR T2 / LISTER DV A T1 / SUBURBAN RD T2,exact_spm,,SPM
COEDPOETH T1 / COEDPOETH T2,COEDPOETH T1 / COEDPOETH T2,exact_spm,,SPM
COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,exact_spm,,SPM
COLWYN BAY T1 / COLWYN BAY T2 / RHOS-ON-SEA T1,COLWYN BAY T1 / COLWYN BAY T2 / RHOS-ON-SEA T1,exact_spm,,SPM
CONEY GREEN T1 / OSWESTRY T2 / OSWESTRY T1,CONEY GREEN T1 / OSWESTRY T2 / OSWESTRY T1,exact_spm,,SPM
CONIX T1 / CONIX T2 / MEDEVA T1,CONIX T1 / CONIX T2 / MEDEVA T1,exact_spm,,SPM
CONNAHS QUAY LOCAL T1 / CONNAHS QUAY LOCAL T2 / HAWARDEN T1 / KING GEORGE ST T1,CONNAHS QUAY LOCAL T1 / CONNAHS QUAY LOCAL T2 / HAWARDEN T1 / KING GEORGE ST T1,exact_spm,,SPM
CONNAHS QUAY T1 / T2,,unmatched,,
CONWY T1 / DEGANWY T1 / LLANDUDNO JUNCTION T1,CONWY T1 / DEGANWY T1 / LLANDUDNO JUNCTION T1,exact_spm,,SPM
COPPENHALL GT1 / CREWE GT4A,,unmatched,,
CORWEN T1,CORWEN T1,exact_spm,,SPM
CREWE GT1 / CREWE GT2A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,fuzzy_spm,,SPM
CREWE T1,CREWE T1,exact_spm,,SPM
CRIGGION RADIO STATION T1,CRIGGION RADIO STATION T1,exact_spm,,SPM
CROSSFIELDS T1 / CROSSFIELDS T2 / LEVERS CROSSFIELDS T3 / GATEWARTH SEWAGE T1,CROSSFIELDS T1 / CROSSFIELDS T2 / LEVERS CROSSFIELDS T3 / GATEWARTH SEWAGE T1,exact_spm,,SPM
CROWTON T1,CROWTON T1,exact_spm,,SPM
CWM DYLI T1,CWM DYLI T1,exact_spm,,SPM
CADDLEHILL,CADDLEHILL,exact_spd,,SPD
CALAIS 1,CALAIS 1,exact_spd,,SPD
